comp_pers_id,cpr_person_id,pp_external_id,pp_wvb_person_id,pp_fullname,em_name,pp_display_name,em_display_name,cpr_role_type
11096396,64b96c0d-92b3-42c2-84d0-edf7cb85eff0,14081852,2053655,MOHD. RAFIK BIN SHAH MOHAMAD,MOHD. RAFIK BIN SHAH MOHAMAD,Mohd. Rafik Bin Shah Mohamad,Mohd. Rafik Bin Shah Mohamad,DIR
10542084,a6df8ce5-b1a0-4141-92cd-1cbec8f12869,13937735,1096887,ARULJOETHY S/O RATNASINGAM,ARULJOETHY S/O RATNASINGAM,Aruljoethy S/o Ratnasingam,Aruljoethy S/o Ratnasingam,DIR
15554324,bc83aed4-5f61-47e9-b24f-a11e14be137e,15709177,4488742,TENGKU BADERUL ZAMAN IBNI SULTAN MAHMUD,TENGKU BADERUL ZAMAN IBNI SULTAN MAHMUD,Tengku Baderul Zaman Ibni Sultan Mahmud,Tengku Baderul Zaman Ibni Sultan Mahmud,DIR
11114997,050385d4-e6aa-4ae3-95b5-39a207f8ec86,13906996,1023793,KIING YIING LAU,KIING YIING LAU,Kiing Yiing Lau,Kiing Yiing Lau,DIR
10670600,f002a416-3b79-40cb-bdf8-f50e61fb58ca,13885889,469363,SREESANTHAN S/O ELIATHAMBY,SREESANTHAN S/O ELIATHAMBY,Sreesanthan S/o Eliathamby,Sreesanthan S/o Eliathamby,DIR
14950901,6750a557-7e97-4534-9ed1-f967bd0156a8,18199465,12214517,CHOO MENG ONG,CHOO MENG ONG,Choo Meng Ong,Choo Meng Ong,DIR
12433899,4248a4b4-25fa-4f61-8ac7-b389d011cdab,18059218,12070307,"YEW KEE, ROY HO","YEW KEE, ROY HO","Yew Kee, Roy Ho","Yew Kee, Roy Ho",DIR
11361504,d7b69bda-146e-4e7d-ba4a-7962cb8564a0,13885481,468411,KRISHNAN S/O C K MENON,KRISHNAN S/O C K MENON,Krishnan S/o C K Menon,Krishnan S/o C K Menon,DIR
11114202,0280699f-5670-4ae8-aacc-3a6c1bdc4e84,13915915,1041779,KUT CHEONG THAM,KUT CHEONG THAM,Kut Cheong Tham,Kut Cheong Tham,DIR
11114203,b2c07384-d643-4da4-80cf-492c6fe785cc,13937690,1096795,KOK CHEONG SONG,KOK CHEONG SONG,Kok Cheong Song,Kok Cheong Song,DIR
12770495,9cbf88ab-cd67-4f37-85e8-caf6c0b283bc,18633369,12841106,CHEE HING CHIN,CHEE HING CHIN,Chee Hing Chin,Chee Hing Chin,DIR
13465641,235bf070-6c64-4121-8e8d-09325277c008,19285385,13511898,TUCK FAI FOONG,TUCK FAI FOONG,Tuck Fai Foong,Tuck Fai Foong,DIR
11043546,9dd97643-b07e-479b-8736-d48746fb9dfd,13938337,1098231,CHATAR SINGH S/O SANTA SINGH,CHATAR SINGH S/O SANTA SINGH,Chatar Singh S/o Santa Singh,Chatar Singh S/o Santa Singh,DIR
11114197,309e0ab3-b6ab-4e3e-884c-1518ff24b521,14279222,3033728,NGAK TIOW LOW,NGAK TIOW LOW,Ngak Tiow Low,Ngak Tiow Low,DIR
11130780,4f8cf2db-e899-44ea-b0de-c0988ba93a98,14332720,3090387,FAHAD HUSSAIN S. MUSHAYT,FAHAD HUSSAIN S. MUSHAYT,Fahad Hussain S. Mushayt,Fahad Hussain S. Mushayt,DIR
14950902,62d87dbd-116a-4fe9-8910-585c151676c1,18108982,12120211,SOON HO ONG,SOON HO ONG,Soon Ho Ong,Soon Ho Ong,DIR
10816429,cca8145c-0447-455c-a785-908fe88ee452,14111282,2248539,RAIPPAN S/O YAGAPPAN @ RAIAPPAN PETER,RAIPPAN S/O YAGAPPAN @ RAIAPPAN PETER,Raippan S/o Yagappan @ Raiappan Peter,Raippan S/o Yagappan @ Raiappan Peter,DIR
11196323,f002a416-3b79-40cb-bdf8-f50e61fb58ca,13885889,469363,SREESANTHAN S/O ELIATHAMBY,SREESANTHAN S/O ELIATHAMBY,Sreesanthan S/o Eliathamby,Sreesanthan S/o Eliathamby,DIR
11114198,1079bac4-8976-4d54-9f91-a96f8d16282a,14279223,3033730,E JO @ AH CHUAN ONG @ WONG,E JO @ AH CHUAN ONG @ WONG,E Jo @ Ah Chuan Ong @ Wong,E Jo @ Ah Chuan Ong @ Wong,DIR
11114201,38a4a9a7-2d5f-4194-a70f-f96ab1103ddb,14279221,3033726,KHWAI @ SWEE KING CHIEW @ CHIEW,KHWAI @ SWEE KING CHIEW @ CHIEW,Khwai @ Swee King Chiew @ Chiew,Khwai @ Swee King Chiew @ Chiew,DIR
11114204,49fcfe97-67cd-4595-b189-3f82ea111f0f,14322531,3084218,HOONG YEET YEANG,HOONG YEET YEANG,Hoong Yeet Yeang,Hoong Yeet Yeang,DIR
11022918,2f17c1e1-4835-418f-b9e9-dd70d3456037,14281424,3035784,S GUNASEHARAN A/L P SUBRAMANIAM,S GUNASEHARAN A/L P SUBRAMANIAM,S Gunaseharan A/l P Subramaniam,S Gunaseharan A/l P Subramaniam,DIR
13466575,1535d6af-f4fe-460b-819f-bee82dcc4238,14276812,3014144,SUBIMAL SEN GUPTA A/L S C SEN,SUBIMAL SEN GUPTA A/L S C SEN,Subimal Sen Gupta A/l S C Sen,Subimal Sen Gupta A/l S C Sen,DIR
11151200,5082c9c6-df4f-4d6d-aa8d-eeca2091644b,14347556,3105471,PUSPAWATHY A/L SUBRAMANIAM,PUSPAWATHY A/L SUBRAMANIAM,Puspawathy A/l Subramaniam,Puspawathy A/l Subramaniam,DIR
11299212,0364538b-256e-4217-bb4f-0297a188c62f,14402915,3165225,S SUNTHARA MOORTHY A/L S SUBRAMANIAM,S SUNTHARA MOORTHY A/L S SUBRAMANIAM,S Sunthara Moorthy A/l S Subramaniam,S Sunthara Moorthy A/l S Subramaniam,DIR
11168923,c81f5f21-ca57-4dc7-9190-8172e5df76e9,14352935,3111157,SANTHARA KUMAR A/L RAMANAIDU,SANTHARA KUMAR A/L RAMANAIDU,Santhara Kumar A/l Ramanaidu,Santhara Kumar A/l Ramanaidu,DIR
11124385,974ff9c2-b55d-4e42-b71a-622549ffa0b5,14270441,2962890,KHAIRILANUAR BIN TUN ABDUL RAHMAN,KHAIRILANUAR BIN TUN ABDUL RAHMAN,Khairilanuar Bin Tun Abdul Rahman,Khairilanuar Bin Tun Abdul Rahman,DIR
11353759,481bb12f-889b-44cc-abee-4e397887e443,17871647,11363840,MURLY A/L MANOKHARAN,MURLY A/L MANOKHARAN,Murly A/l Manokharan,Murly A/l Manokharan,DIR
16196501,b63c7c22-5f45-44c5-bb87-298124e15c3e,20706544,15119949,RAJENDRAN A/L NARAYANASAMY,RAJENDRAN A/L NARAYANASAMY,Rajendran A/l Narayanasamy,Rajendran A/l Narayanasamy,DIR
